clip,bucket,label_original,trigger_s,score,extracted_to,extract_status
FP_Ch48_1_2026-08-05_031559.mp4,FlasePositives,negative,554.79,0.2091,fall-detected\FP_Ch48_1_2026-08-05_031559_t554_score20.mp4,OK
FP_Ch58_2_2026-08-05_191724.mp4,FlasePositives,negative,241.95,0.2957,fall-detected\FP_Ch58_2_2026-08-05_191724_t241_score29.mp4,OK
TP_Ch53_1_2026-08-26_123330.mp4,NewTPRecords,positive,217.0,0.5797,fall-detected\TP_Ch53_1_2026-08-26_123330_t217_score57.mp4,OK
TP_Ch53_1_2026-08-26_124000.mp4,NewTPRecords,positive,251.0,0.9757,fall-detected\TP_Ch53_1_2026-08-26_124000_t251_score97.mp4,OK
TP_Ch53_2_2026-08-26_123330.mp4,NewTPRecords,positive,179.0,0.2386,fall-detected\TP_Ch53_2_2026-08-26_123330_t179_score23.mp4,OK
TP_Ch53_2_2026-08-26_124000.mp4,NewTPRecords,positive,297.0,0.7221,fall-detected\TP_Ch53_2_2026-08-26_124000_t297_score72.mp4,OK
